,time,open,close,low,high,diff,dir,token,dif,body,shadow_up,shadow_down
0,2022-06-06 15:00:00,1906.0,1908.75,1905.8,1912.3,2.75,+,ETHUSD,2.75,2.75,3.5499999999999545,0.20000000000004547
1,2022-06-06 15:15:00,1908.75,1909.6,1902.5,1910.2,0.85,+,ETHUSD,0.85,0.849999999999909,0.6000000000001364,6.25
2,2022-06-06 15:30:00,1909.6,1914.4,1908.45,1917.7,4.8,+,ETHUSD,4.8,4.800000000000182,3.2999999999999545,1.1499999999998636
3,2022-06-06 15:45:00,1914.4,1906.9,1904.3,1915.25,7.5,-,ETHUSD,7.5,0.0,0.849999999999909,2.6000000000001364
4,2022-06-06 16:00:00,1906.9,1905.8,1903.55,1910.65,1.1,-,ETHUSD,1.1,0.0,3.75,2.25
5,2022-06-06 16:15:00,1905.8,1910.3,1901.2,1911.2,4.5,+,ETHUSD,4.5,4.5,0.900000000000091,4.599999999999909
6,2022-06-06 16:30:00,1910.3,1904.45,1890.0,1914.6,5.85,-,ETHUSD,5.85,0.0,4.2999999999999545,14.450000000000045
7,2022-06-06 16:45:00,1904.45,1901.7,1894.45,1905.35,2.75,-,ETHUSD,2.75,0.0,0.8999999999998636,7.25
8,2022-06-06 17:00:00,1901.7,1906.45,1899.95,1914.3,4.75,+,ETHUSD,4.75,4.75,7.849999999999909,1.75
9,2022-06-06 17:15:00,1906.45,1906.9,1900.35,1910.0,0.45,+,ETHUSD,0.45,0.4500000000000455,3.099999999999909,6.100000000000136
10,2022-06-06 17:30:00,1906.9,1900.7,1898.55,1909.0,6.2,-,ETHUSD,6.2,0.0,2.099999999999909,2.150000000000091
11,2022-06-06 17:45:00,1900.7,1891.35,1885.3,1902.05,9.35,-,ETHUSD,9.35,0.0,1.349999999999909,6.0499999999999545
12,2022-06-06 18:00:00,1891.35,1878.2,1874.65,1893.4,13.15,-,ETHUSD,13.15,0.0,2.050000000000182,3.5499999999999545
13,2022-06-06 18:15:00,1878.2,1869.2,1862.2,1882.05,9.0,-,ETHUSD,9.0,0.0,3.849999999999909,7.0
14,2022-06-06 18:30:00,1869.2,1882.8,1869.2,1882.85,13.6,+,ETHUSD,13.6,13.599999999999909,0.049999999999954525,0.0
15,2022-06-06 18:45:00,1882.8,1884.35,1878.1,1890.9,1.55,+,ETHUSD,1.55,1.5499999999999545,6.550000000000182,4.7000000000000455
16,2022-06-06 19:00:00,1884.35,1872.1,1871.25,1886.8,12.25,-,ETHUSD,12.25,0.0,2.4500000000000455,0.849999999999909
17,2022-06-06 19:15:00,1872.1,1854.0,1853.5,1872.1,18.1,-,ETHUSD,18.1,0.0,0.0,0.5
18,2022-06-06 19:30:00,1854.0,1854.1,1849.25,1859.85,0.1,+,ETHUSD,0.1,0.09999999999990905,5.75,4.75
19,2022-06-06 19:45:00,1854.1,1856.4,1848.0,1856.7,2.3,+,ETHUSD,2.3,2.300000000000182,0.2999999999999545,6.099999999999909
20,2022-06-06 20:00:00,1856.4,1849.3,1845.0,1857.65,7.1,-,ETHUSD,7.1,0.0,1.25,4.2999999999999545
21,2022-06-06 20:15:00,1849.3,1853.0,1841.25,1855.4,3.7,+,ETHUSD,3.7,3.7000000000000455,2.400000000000091,8.049999999999955
22,2022-06-06 20:30:00,1853.0,1852.0,1846.75,1857.0,1.0,-,ETHUSD,1.0,0.0,4.0,5.25
23,2022-06-06 20:45:00,1852.0,1855.2,1847.7,1856.5,3.2,+,ETHUSD,3.2,3.2000000000000455,1.2999999999999545,4.2999999999999545
24,2022-06-06 21:00:00,1855.2,1857.25,1851.9,1861.0,2.05,+,ETHUSD,2.05,2.0499999999999545,3.75,3.2999999999999545
25,2022-06-06 21:15:00,1857.25,1856.0,1851.7,1859.5,1.25,-,ETHUSD,1.25,0.0,2.25,4.2999999999999545
26,2022-06-06 21:30:00,1856.0,1857.35,1847.4,1859.3,1.35,+,ETHUSD,1.35,1.349999999999909,1.9500000000000455,8.599999999999909
27,2022-06-06 21:45:00,1857.35,1859.55,1850.3,1866.0,2.2,+,ETHUSD,2.2,2.2000000000000455,6.4500000000000455,7.0499999999999545
28,2022-06-06 22:00:00,1859.55,1852.9,1852.6,1861.55,6.65,-,ETHUSD,6.65,0.0,2.0,0.3000000000001819
29,2022-06-06 22:15:00,1852.9,1854.5,1851.65,1857.65,1.6,+,ETHUSD,1.6,1.599999999999909,3.150000000000091,1.25
30,2022-06-06 22:30:00,1854.5,1861.9,1854.05,1863.8,7.4,+,ETHUSD,7.4,7.400000000000091,1.8999999999998636,0.4500000000000455
31,2022-06-06 22:45:00,1861.9,1861.5,1858.7,1864.6,0.4,-,ETHUSD,0.4,0.0,2.699999999999818,2.7999999999999545
32,2022-06-06 23:00:00,1861.5,1850.0,1843.0,1862.15,11.5,-,ETHUSD,11.5,0.0,0.650000000000091,7.0
33,2022-06-06 23:15:00,1850.0,1856.9,1848.5,1864.0,6.9,+,ETHUSD,6.9,6.900000000000091,7.099999999999909,1.5
34,2022-06-06 23:30:00,1856.9,1853.9,1853.0,1859.9,3.0,-,ETHUSD,3.0,0.0,3.0,0.900000000000091
35,2022-06-06 23:45:00,1853.9,1859.0,1853.9,1861.4,5.1,+,ETHUSD,5.1,5.099999999999909,2.400000000000091,0.0
36,2022-06-07 00:00:00,1859.0,1863.1,1859.0,1863.15,4.1,+,ETHUSD,4.1,4.099999999999909,0.0500000000001819,0.0
37,2022-06-07 00:15:00,1863.1,1869.6,1862.75,1870.8,6.5,+,ETHUSD,6.5,6.5,1.2000000000000455,0.34999999999990905
38,2022-06-07 00:30:00,1869.6,1867.2,1862.8,1874.45,2.4,-,ETHUSD,2.4,0.0,4.850000000000136,4.400000000000091
39,2022-06-07 00:45:00,1867.2,1871.0,1867.2,1872.2,3.8,+,ETHUSD,3.8,3.7999999999999545,1.2000000000000455,0.0
40,2022-06-07 01:00:00,1871.0,1869.55,1868.4,1873.3,1.45,-,ETHUSD,1.45,0.0,2.2999999999999545,1.1499999999998636
41,2022-06-07 01:15:00,1869.55,1857.85,1855.65,1869.65,11.7,-,ETHUSD,11.7,0.0,0.10000000000013642,2.199999999999818
